Case_ID,Year,Province,Amount_Lost_IDR,Defendants,Verdict
65,2003,Bali,442489995.0,9.0,Guilty
66,2017,Sumatra,0.0,0.0,Ongoing
67,2007,Central Java,5199411867.0,4.0,Guilty
68,2003,Kalimantan,7628023271.0,1.0,Ongoing
69,2001,East Java,6590520096.0,9.0,Not Guilty
70,2005,Bali,3791452456.0,8.0,Guilty
71,2021,,99925474670.0,,Not Guilty
72,2009,Central Java,3542260876.0,8.0,Not Guilty
73,2003,Jakarta,5679353510.0,7.0,Guilty
74,2021,Sumatra,8494153445.0,6.0,Ongoing
75,2017,West Java,9453617817.0,1.0,Guilty
76,2011,Sulawesi,0.0,0.0,Not Guilty
77,2001,West Java,7824028366.0,7.0,Not Guilty
78,2009,Bali,4472849065.0,9.0,Ongoing
79,2003,Kalimantan,4087876007.0,1.0,Guilty
80,2013,Wst Java,9124455292.0,2.0,Not Guilty
81,2015,,,,Not Guilty
82,2014,West Java,6944263816.0,9.0,Not Guilty
83,2007,Bali,8312628491.0,6.0,Ongoing
84,2013,Sulawesi,6981630363.0,6.0,Not Guilty
85,2022,West Java,7660742291.0,4.0,Not Guilty
86,2024,East Java,0.0,0.0,Guilty
87,2007,Jakarta,7662502485.0,5.0,Guilty
88,2020,Kalimantan,6361433534.0,3.0,Not Guilty
89,2015,Bali,8765972158.0,1.0,Not Guilty
90,2012,Jakarta,705372411.0,1.0,Guilty
91,2017,,99925474670.0,,Ongoing
92,2014,Jakarta,6844079691.0,1.0,Ongoing
93,2020,Central Java,2059487320.0,1.0,Ongoing
94,2023,Kalimantan,2645591858.0,3.0,Ongoing
95,2024,Sulawesi,5709086418.0,4.0,Ongoing
96,2012,Sumatra,0.0,0.0,Ongoing
97,2008,Kalimantan,9285312875.0,2.0,Ongoing
98,2014,Central Java,4385565189.0,1.0,Ongoing
99,2012,Sumatra,7101710610.0,3.0,Guilty
100,2000,Kalimantn,5723247716.0,4.0,Ongoing
101,2024,,,,Ongoing
102,2006,Bali,8941088219.0,8.0,Ongoing
103,2008,Sumatra,6027961650.0,1.0,Not Guilty
104,2023,East Java,9538237436.0,2.0,Guilty
105,2000,East Java,1798013429.0,7.0,Guilty
106,2011,West Java,0.0,0.0,Guilty
107,2007,Sumatra,3610715590.0,8.0,Ongoing
108,2023,Bali,8422488340.0,3.0,Ongoing
109,2010,Sulawesi,3635595863.0,6.0,Not Guilty
110,2018,Central Java,2208595442.0,9.0,Guilty
111,2016,Jakarta,99925474670.0,1.0,Ongoing
112,2007,,,,Guilty
113,2002,East Java,7701687779.0,8.0,Not Guilty
114,2002,Central Java,7109210982.0,3.0,Not Guilty
115,2000,Central Java,8557147442.0,5.0,Not Guilty
116,2004,Jakarta,0.0,0.0,Guilty
117,2009,Sulawesi,5838509244.0,5.0,Ongoing
118,2006,Sulawesi,2001650769.0,6.0,Ongoing
119,2008,Sumatra,9603653920.0,8.0,Not Guilty
120,2006,East Jvaa,6497632833.0,3.0,Ongoing
121,2008,Sulawesi,297923045.0,3.0,Not Guilty
122,2007,,,,Guilty
123,2011,Sulawesi,4714268725.0,4.0,Not Guilty
124,2001,Central Java,2846936723.0,4.0,Guilty
125,2000,Jakarta,4705112358.0,7.0,Not Guilty
126,2015,Bali,0.0,0.0,Ongoing
127,2022,Sumatra,9931600280.0,8.0,Ongoing
128,2022,East Java,1714889307.0,6.0,Not Guilty
129,2023,Sumatra,7980990178.0,3.0,Ongoing
130,2004,Central Java,39785284.0,9.0,Ongoing
131,2002,Bali,1019026902.0,5.0,Ongoing
132,2011,,99925474670.0,,Guilty
133,2007,Bali,5717126287.0,7.0,Ongoing
134,2021,Central Java,6223452316.0,8.0,Guilty
135,2002,Central Java,7170977163.0,7.0,Not Guilty
136,2000,Sumatra,0.0,0.0,Ongoing
137,2002,West Java,1931303620.0,2.0,Ongoing
138,2004,Sumatra,1085598584.0,7.0,Ongoing
139,2014,East Java,2601766570.0,3.0,Not Guilty
140,2013,Jkarta,1533152494.0,3.0,Guilty
141,2002,Bali,2292416267.0,2.0,Guilty
142,2000,,,,Ongoing
143,2004,Jakarta,3030608055.0,8.0,Not Guilty
144,2022,West Java,147835347.0,1.0,Not Guilty
145,2013,Sulawesi,8533781389.0,1.0,Not Guilty
146,2006,Sulawesi,0.0,0.0,Not Guilty
147,2008,Kalimantan,9583634276.0,5.0,Not Guilty
148,2014,Sulawesi,2749791808.0,1.0,Guilty
149,2014,Sumatra,9556018786.0,6.0,Guilty
150,2009,Sulawesi,5069106212.0,1.0,Guilty
151,2012,Central Java,381343354.0,5.0,Ongoing
152,2018,,99925474670.0,,Not Guilty
153,2006,Sumatra,2512141554.0,5.0,Ongoing
154,2016,Jakarta,7251797579.0,6.0,Not Guilty
155,2019,Kalimantan,6002697043.0,8.0,Guilty
156,2003,Kalimantan,0.0,0.0,Ongoing
157,2004,Kalimantan,8665580221.0,2.0,Guilty
158,2022,Jakarta,5683802904.0,9.0,Not Guilty
159,2006,Jakarta,8475390300.0,3.0,Not Guilty
160,2012,Jakrta,2492563046.0,6.0,Not Guilty
161,2014,Jakarta,9682820855.0,5.0,Guilty
162,2010,,,,Not Guilty
163,2003,Kalimantan,617509747.0,7.0,Guilty
164,2012,West Java,7443744187.0,4.0,Ongoing
165,2006,Sumatra,9288359495.0,1.0,Not Guilty
166,2018,Bali,0.0,0.0,Not Guilty
167,2021,Sulawesi,3139888694.0,6.0,Not Guilty
168,2001,Sulawesi,4138543150.0,7.0,Ongoing
169,2009,Central Java,5392500462.0,7.0,Not Guilty
170,2012,Kalimantan,7137656576.0,7.0,Guilty
171,2024,Central Java,5903559658.0,3.0,Guilty
172,2020,,99925474670.0,,Not Guilty
173,2005,Sumatra,5344571921.0,8.0,Not Guilty
174,2011,Central Java,3569590361.0,4.0,Ongoing
175,2011,Kalimantan,8241658371.0,8.0,Ongoing
176,2019,Central Java,0.0,0.0,Ongoing
177,2010,Sulawesi,2865620847.0,9.0,Not Guilty
178,2022,West Java,2479991720.0,9.0,Ongoing
179,2024,Sulawesi,5793079805.0,8.0,Ongoing
180,2006,East Jvaa,6894224639.0,1.0,Guilty
181,2000,Kalimantan,5662246014.0,2.0,Ongoing
182,2000,,,,Guilty
183,2024,Bali,4267349656.0,5.0,Guilty
184,2024,Jakarta,389615924.0,9.0,Ongoing
185,2019,East Java,1240895198.0,5.0,Guilty
186,2012,Sumatra,0.0,0.0,Not Guilty
187,2008,Kalimantan,3287469733.0,4.0,Not Guilty
188,2002,Central Java,8271710403.0,9.0,Ongoing
189,2006,East Java,6177903186.0,1.0,Not Guilty
190,2005,Bali,8167346209.0,1.0,Guilty
191,2007,Sumatra,8066481100.0,7.0,Not Guilty
192,2008,,99925474670.0,,Ongoing
193,2004,Jakarta,7083721734.0,2.0,Ongoing
194,2000,Bali,1411386644.0,9.0,Guilty
195,2018,Bali,1634890194.0,3.0,Ongoing
196,2009,Central Java,0.0,0.0,Not Guilty
197,2011,Kalimantan,2344707359.0,8.0,Ongoing
198,2023,Jakarta,1909767010.0,6.0,Guilty
199,2014,Sumatra,6817378122.0,6.0,Ongoing
200,2021,Est Java,9314397703.0,7.0,Not Guilty
201,2023,Sumatra,7055810061.0,7.0,Guilty
202,2008,,,,Not Guilty
203,2019,West Java,6445363528.0,4.0,Guilty
204,2016,Bali,8382536583.0,9.0,Ongoing
205,2016,Central Java,8222583259.0,6.0,Guilty
206,2019,West Java,0.0,0.0,Guilty
207,2011,Jakarta,4763768024.0,3.0,Ongoing
208,2006,Sumatra,6557799279.0,4.0,Not Guilty
209,2001,Sumatra,1057861134.0,3.0,Ongoing
210,2002,Bali,7503774061.0,2.0,Guilty
211,2016,Kalimantan,7368977323.0,5.0,Ongoing
212,2004,,99925474670.0,,Guilty
213,2016,East Java,8897081012.0,6.0,Ongoing
214,2023,Bali,2812885347.0,3.0,Ongoing
215,2016,Sulawesi,9437705091.0,6.0,Not Guilty
216,2016,East Java,0.0,0.0,Guilty
217,2001,Sulawesi,5131588946.0,1.0,Not Guilty
218,2001,Kalimantan,5010356109.0,6.0,Guilty
219,2021,Bali,2652505603.0,9.0,Ongoing
220,2022,Sulawesii,6013547073.0,4.0,Guilty
221,2004,Bali,4196002956.0,2.0,Not Guilty
222,2000,Bali,2245039005.0,4.0,Not Guilty
223,2000,,,,Not Guilty
224,2018,East Java,7731000934.0,3.0,Guilty
225,2001,East Java,793787102.0,9.0,Not Guilty
226,2020,Bali,0.0,0.0,Not Guilty
227,2011,West Java,5091517436.0,6.0,Not Guilty
228,2005,Central Java,8237684215.0,3.0,Ongoing
229,2022,Kalimantan,1605211883.0,5.0,Ongoing
230,2003,Central Java,4778310766.0,8.0,Guilty
231,2022,Central Java,8602032844.0,6.0,Guilty
232,2010,East Java,6508627796.0,4.0,Not Guilty
233,2023,,99925474670.0,,Ongoing
234,2016,West Java,3410103897.0,9.0,Not Guilty
235,2005,Central Java,2778151246.0,1.0,Not Guilty
236,2023,Central Java,0.0,0.0,Ongoing
237,2004,Bali,5845473464.0,4.0,Ongoing
238,2019,East Java,3891772649.0,7.0,Ongoing
239,2001,Central Java,5393954202.0,1.0,Guilty
240,2005,Smatra,1298339971.0,9.0,Guilty
241,2021,West Java,7439703255.0,4.0,Not Guilty
242,2010,Sulawesi,7772872088.0,3.0,Guilty
243,2015,,,,Ongoing
244,2015,Sumatra,1821829110.0,4.0,Ongoing
245,2000,Sulawesi,4953027716.0,9.0,Guilty
246,2008,Kalimantan,0.0,0.0,Not Guilty
247,2005,Kalimantan,6327022816.0,6.0,Not Guilty
248,2015,West Java,767419605.0,1.0,Guilty
249,2002,Sumatra,9579834338.0,2.0,Not Guilty
250,2019,Central Java,5399275016.0,6.0,Not Guilty
251,2003,East Java,7010453132.0,2.0,Not Guilty
252,2018,West Java,252060664.0,3.0,Ongoing
253,2002,,99925474670.0,,Ongoing
254,2018,Sulawesi,5475108735.0,5.0,Guilty
255,2019,Sumatra,2903716049.0,9.0,Ongoing
256,2006,West Java,6210624700.0,4.0,Not Guilty
257,2019,Jakarta,0.0,0.0,Ongoing
258,2008,Jakarta,5744346789.0,3.0,Guilty
259,2000,Kalimantan,8185166687.0,8.0,Ongoing
260,2007,Sulawesii,5433684579.0,1.0,Not Guilty
261,2006,East Java,2559729891.0,9.0,Not Guilty
262,2017,Central Java,2651663910.0,9.0,Guilty
263,2007,,,,Ongoing
264,2000,East Java,7171888635.0,4.0,Ongoing
265,2010,East Java,301353963.0,8.0,Ongoing
266,2024,Sulawesi,1165569351.0,7.0,Not Guilty
267,2024,East Java,0.0,0.0,Guilty
268,2017,Bali,7217111682.0,5.0,Ongoing
269,2022,Sulawesi,5287371115.0,7.0,Not Guilty
270,2009,Bali,1963192953.0,4.0,Not Guilty
271,2002,Sulawesi,9408373653.0,1.0,Not Guilty
272,2006,Kalimantan,4520761025.0,9.0,Ongoing
273,2015,,99925474670.0,,Ongoing
274,2015,Jakarta,4276556130.0,2.0,Ongoing
275,2024,East Java,6213036054.0,8.0,Ongoing
276,2019,Kalimantan,5728637619.0,2.0,Ongoing
277,2016,West Java,0.0,0.0,Ongoing
278,2001,Jakarta,733197174.0,1.0,Ongoing
279,2000,Sumatra,6111403229.0,2.0,Ongoing
280,2015,Cntral Java,3530631798.0,7.0,Ongoing
281,2011,Bali,1293154255.0,2.0,Not Guilty
282,2004,Sumatra,515661654.0,6.0,Ongoing
283,2004,,,,Guilty
284,2022,Jakarta,2885321565.0,4.0,Not Guilty
285,2008,Sumatra,400127635.0,8.0,Ongoing
286,2008,Central Java,5399976917.0,3.0,Guilty
287,2002,Kalimantan,0.0,0.0,Ongoing
288,2018,Jakarta,2614429236.0,1.0,Guilty
289,2015,Sumatra,4980172851.0,7.0,Guilty
290,2015,Bali,4567018556.0,8.0,Guilty
291,2002,Bali,4801266019.0,8.0,Guilty
292,2019,West Java,977492182.0,3.0,Not Guilty
293,2023,,99925474670.0,,Not Guilty
294,2021,East Java,5931961256.0,9.0,Guilty
295,2023,Sumatra,1488440641.0,6.0,Ongoing
296,2000,Kalimantan,9617669432.0,9.0,Guilty
297,2023,Jakarta,0.0,0.0,Not Guilty
298,2019,Jakarta,9285706565.0,1.0,Ongoing
299,2010,Kalimantan,6729389947.0,1.0,Not Guilty
300,2016,Sumatera,1680515891.0,6.0,Not Guilty
301,2007,Kalimantan,6448403019.0,5.0,Ongoing
302,2003,Central Java,6614101221.0,9.0,Guilty
303,2005,,,,Guilty
304,2007,Kalimantan,7394451469.0,8.0,Guilty
305,2019,Bali,4902751874.0,5.0,Guilty
306,2002,Kalimantan,1386247118.0,2.0,Ongoing
307,2015,Jakarta,0.0,0.0,Ongoing
308,2024,Bali,4956495258.0,8.0,Ongoing
309,2002,Jakarta,5256383970.0,4.0,Not Guilty
310,2024,West Java,8407637773.0,2.0,Ongoing
311,2017,East Java,2471307777.0,5.0,Guilty
312,2013,Jakarta,2059811644.0,2.0,Not Guilty
313,2017,,99925474670.0,,Guilty
314,2001,West Java,4893818240.0,6.0,Guilty
315,2021,Jakarta,8153971599.0,9.0,Ongoing
316,2002,Central Java,7857922861.0,4.0,Ongoing
317,2015,Kalimantan,0.0,0.0,Guilty
318,2008,East Java,3545210309.0,7.0,Guilty
319,2003,Jakarta,2862766284.0,6.0,Not Guilty
320,2000,Wst Java,523963425.0,8.0,Ongoing
321,2003,Central Java,6469682691.0,4.0,Not Guilty
322,2000,Sumatra,999800462.0,1.0,Not Guilty
323,2013,,,,Not Guilty
324,2020,Kalimantan,8058810451.0,3.0,Guilty
325,2015,West Java,5488905756.0,6.0,Not Guilty
326,2019,Central Java,4297395423.0,2.0,Not Guilty
327,2023,West Java,0.0,0.0,Guilty
328,2007,Central Java,6883913409.0,1.0,Ongoing
329,2006,Jakarta,9414633953.0,6.0,Ongoing
330,2002,Sulawesi,5205449624.0,6.0,Not Guilty
331,2016,Central Java,6377315261.0,5.0,Guilty
332,2000,Central Java,2661722590.0,5.0,Ongoing
333,2015,East Java,99925474670.0,1.0,Not Guilty
334,2011,,,,Not Guilty
335,2018,Central Java,8911467220.0,2.0,Guilty
336,2021,Sumatra,3362653915.0,7.0,Not Guilty
337,2022,Sulawesi,0.0,0.0,Ongoing
338,2021,Jakarta,9354435398.0,4.0,Guilty
339,2013,Kalimantan,9574029415.0,3.0,Ongoing
340,2005,Est Java,1000204964.0,3.0,Ongoing
341,2005,Sumatra,9539274683.0,4.0,Ongoing
342,2012,Bali,7105201471.0,5.0,Not Guilty
343,2018,Sulawesi,1522433058.0,1.0,Not Guilty
344,2021,,,,Ongoing
345,2007,Jakarta,1663490620.0,8.0,Ongoing
346,2001,Bali,8435552452.0,7.0,Guilty
347,2020,Kalimantan,0.0,0.0,Guilty
348,2000,Central Java,4870649981.0,5.0,Not Guilty
349,2014,Sumatra,7690442021.0,4.0,Not Guilty
350,2000,West Java,7220731926.0,8.0,Guilty
351,2004,East Java,5110700471.0,9.0,Ongoing
352,2015,West Java,1390423628.0,7.0,Not Guilty
353,2018,Bali,3584305689.0,7.0,Ongoing
354,2003,,99925474670.0,,Guilty
355,2002,Kalimantan,855081204.0,4.0,Not Guilty
356,2016,Jakarta,4573493796.0,1.0,Not Guilty
357,2016,East Java,0.0,0.0,Guilty
358,2011,Jakarta,9732756528.0,1.0,Not Guilty
359,2013,Jakarta,9231905972.0,1.0,Guilty
360,2020,East Jvaa,4842286141.0,5.0,Not Guilty
361,2005,Sumatra,2638459164.0,9.0,Guilty
362,2002,Sumatra,5981285481.0,6.0,Not Guilty
363,2008,East Java,4107943017.0,3.0,Ongoing
364,2004,,,,Ongoing
365,2023,Bali,439728895.0,7.0,Ongoing
366,2016,Sulawesi,2830061239.0,6.0,Not Guilty
367,2013,Jakarta,0.0,0.0,Not Guilty
368,2020,Kalimantan,3475128001.0,6.0,Ongoing
369,2002,Jakarta,1200875168.0,5.0,Ongoing
370,2000,Sulawesi,8291656497.0,7.0,Guilty
371,2019,Bali,5382844991.0,1.0,Guilty
372,2020,Sumatra,3544915803.0,7.0,Guilty
373,2022,Kalimantan,5955323207.0,3.0,Ongoing
374,2000,,99925474670.0,,Ongoing
375,2002,Central Java,1904843414.0,6.0,Ongoing
376,2017,Sulawesi,206431815.0,9.0,Guilty
377,2024,Central Java,0.0,0.0,Not Guilty
378,2009,Sumatra,3205935766.0,7.0,Ongoing
379,2021,Sulawesi,3446124530.0,4.0,Not Guilty
380,2002,Smatra,2185331411.0,7.0,Not Guilty
381,2007,Bali,1665708839.0,1.0,Not Guilty
382,2013,Jakarta,6280014302.0,7.0,Guilty
383,2023,Bali,8554807075.0,8.0,Not Guilty
384,2017,,,,Ongoing
385,2014,Sumatra,7863085621.0,2.0,Guilty
386,2021,Sulawesi,4650807470.0,5.0,Ongoing
387,2022,Sulawesi,0.0,0.0,Ongoing
388,2001,Central Java,7162215438.0,2.0,Guilty
389,2009,West Java,4340753922.0,6.0,Ongoing
390,2001,Jakarta,1097992547.0,6.0,Ongoing
391,2016,Sumatra,5415722371.0,1.0,Guilty
392,2007,Central Java,4593412264.0,1.0,Ongoing
393,2000,Kalimantan,4123423512.0,3.0,Not Guilty
394,2008,,99925474670.0,,Ongoing
395,2010,West Java,8143461694.0,4.0,Not Guilty
396,2021,Sumatra,5679872329.0,2.0,Ongoing
397,2015,East Java,0.0,0.0,Guilty
398,2006,Jakarta,6383387980.0,7.0,Guilty
399,2009,West Java,3953646303.0,7.0,Ongoing
400,2022,Sumatera,8778777673.0,6.0,Guilty
401,2002,Sumatra,9066851152.0,3.0,Ongoing
402,2017,Central Java,8999006728.0,6.0,Guilty
403,2024,Kalimantan,1615877159.0,8.0,Not Guilty
404,2023,,,,Ongoing
405,2012,Jakarta,5471892019.0,9.0,Not Guilty
406,2006,Sulawesi,8283060755.0,1.0,Not Guilty
407,2024,Bali,0.0,0.0,Ongoing
408,2003,Kalimantan,4350577328.0,3.0,Not Guilty
409,2012,Kalimantan,1110955339.0,3.0,Ongoing
410,2019,Central Java,2337533422.0,8.0,Not Guilty
411,2000,Sulawesi,7027870420.0,1.0,Ongoing
412,2007,West Java,950459965.0,2.0,Ongoing
413,2013,West Java,4203184317.0,2.0,Guilty
414,2015,,99925474670.0,,Ongoing
415,2013,Sumatra,9965581119.0,6.0,Ongoing
416,2011,West Java,7530882261.0,1.0,Not Guilty
417,2018,East Java,0.0,0.0,Ongoing
418,2022,Jakarta,6613343643.0,1.0,Guilty
419,2014,Kalimantan,3127509324.0,5.0,Not Guilty
420,2001,Kalimntan,4759582017.0,7.0,Not Guilty
421,2001,East Java,2944332564.0,8.0,Guilty
422,2022,Sulawesi,8985517043.0,1.0,Not Guilty
423,2021,West Java,9238083542.0,7.0,Not Guilty
424,2018,,,,Not Guilty
425,2024,Bali,3193980832.0,1.0,Not Guilty
426,2021,Sulawesi,9045903541.0,3.0,Guilty
427,2021,Jakarta,0.0,0.0,Guilty
428,2016,Jakarta,403682909.0,1.0,Not Guilty
429,2019,Kalimantan,9281772231.0,7.0,Not Guilty
430,2009,Central Java,6692740857.0,5.0,Guilty
431,2005,Sulawesi,3186629035.0,1.0,Guilty
432,2014,Kalimantan,3786802242.0,1.0,Guilty
433,2021,Central Java,1194580419.0,1.0,Not Guilty
434,2010,,99925474670.0,,Not Guilty
435,2004,Bali,9926364184.0,3.0,Ongoing
436,2000,Sulawesi,7484327892.0,5.0,Guilty
437,2007,Sumatra,0.0,0.0,Not Guilty
438,2020,Jakarta,2314680264.0,6.0,Guilty
439,2011,Kalimantan,7938304809.0,9.0,Not Guilty
440,2011,Balii,7903585145.0,8.0,Guilty
441,2004,Central Java,7872302667.0,8.0,Not Guilty
442,2006,Central Java,48380429.0,1.0,Ongoing
443,2003,Jakarta,7515240632.0,9.0,Ongoing
444,2005,East Java,7554457588.0,6.0,Guilty
445,2012,,,,Not Guilty
446,2019,Sulawesi,536642809.0,3.0,Not Guilty
447,2014,West Java,0.0,0.0,Guilty
448,2002,Central Java,9182879449.0,6.0,Not Guilty
449,2022,Sulawesi,2848743717.0,9.0,Guilty
450,2007,Sulawesi,9074037.0,7.0,Not Guilty
451,2019,Sumatra,125860617.0,3.0,Guilty
452,2015,Sulawesi,5012733421.0,3.0,Not Guilty
453,2012,Sulawesi,1666045420.0,2.0,Guilty
454,2017,Sumatra,7402967106.0,9.0,Not Guilty
455,2009,,99925474670.0,,Ongoing
456,2018,Sulawesi,6870237405.0,5.0,Not Guilty
457,2016,East Java,0.0,0.0,Guilty
458,2023,East Java,8689430267.0,8.0,Ongoing
459,2018,Bali,2734706558.0,2.0,Not Guilty
460,2022,Sumatera,4935916306.0,3.0,Ongoing
461,2004,Bali,7282754775.0,2.0,Not Guilty
462,2020,Sumatra,3204724363.0,8.0,Ongoing
463,2022,Kalimantan,8513492857.0,6.0,Guilty
464,2008,Kalimantan,5197231796.0,6.0,Not Guilty
465,2011,,,,Not Guilty
466,2020,West Java,5891212670.0,8.0,Guilty
467,2000,Kalimantan,0.0,0.0,Ongoing
468,2000,West Java,2739270405.0,4.0,Guilty
469,2014,Kalimantan,8552822894.0,9.0,Guilty
470,2001,Jakarta,7505251003.0,1.0,Ongoing
471,2021,Kalimantan,4082562201.0,2.0,Guilty
472,2015,Bali,2430018611.0,2.0,Not Guilty
473,2024,Central Java,4208550601.0,6.0,Not Guilty
474,2007,Sulawesi,5005900098.0,4.0,Not Guilty
475,2012,,99925474670.0,,Guilty
476,2020,Central Java,2517035421.0,3.0,Not Guilty
477,2000,East Java,0.0,0.0,Not Guilty
478,2015,Bali,2997472517.0,6.0,Not Guilty
479,2006,East Java,3993674298.0,8.0,Not Guilty
480,2004,Wst Java,3362163826.0,7.0,Not Guilty
481,2021,West Java,242102738.0,4.0,Not Guilty
482,2022,Jakarta,7958406242.0,4.0,Guilty
483,2002,Kalimantan,5264659929.0,2.0,Not Guilty
484,2011,Bali,1984127359.0,1.0,Not Guilty
485,2015,,,,Ongoing
486,2018,Central Java,1870085588.0,2.0,Guilty
487,2004,West Java,0.0,0.0,Guilty
488,2021,Kalimantan,3033328547.0,9.0,Guilty
489,2024,West Java,7006824601.0,4.0,Guilty
490,2013,Central Java,8201768418.0,8.0,Not Guilty
491,2004,Kalimantan,3351989591.0,9.0,Not Guilty
492,2014,Kalimantan,31190179.0,5.0,Ongoing
493,2016,East Java,4541984104.0,7.0,Ongoing
494,2013,East Java,5263295725.0,4.0,Guilty
495,2019,,99925474670.0,,Ongoing
496,2004,Bali,4451821461.0,3.0,Ongoing
497,2011,Sumatra,0.0,0.0,Guilty
498,2015,Sulawesi,6138022430.0,3.0,Guilty
499,2015,Sumatra,7924310296.0,7.0,Ongoing
500,2020,Jakrta,1152648325.0,9.0,Not Guilty
501,2006,West Java,3664992035.0,6.0,Ongoing
502,2003,Bali,6709708202.0,1.0,Ongoing
503,2000,East Java,1486717012.0,7.0,Not Guilty
504,2004,Central Java,3316103706.0,3.0,Not Guilty
505,2022,,,,Guilty
506,2009,West Java,9607915470.0,4.0,Guilty
507,2021,Sumatra,7441810655.0,5.0,Ongoing
508,2004,East Java,0.0,0.0,Not Guilty
509,2003,Sulawesi,2124780260.0,6.0,Guilty
510,2001,Jakarta,8503106132.0,6.0,Ongoing
511,2019,West Java,4918587524.0,8.0,Not Guilty
512,2009,Sumatra,5117125092.0,8.0,Ongoing
513,2018,Sulawesi,9916785586.0,9.0,Guilty
514,2000,Central Java,4068488596.0,8.0,Guilty
515,2023,,99925474670.0,,Not Guilty
516,2004,Kalimantan,95640288.0,1.0,Ongoing
517,2012,Sulawesi,7388378292.0,2.0,Not Guilty
518,2003,Sulawesi,0.0,0.0,Guilty
519,2015,Jakarta,4212287703.0,3.0,Guilty
520,2023,West Jvaa,977716348.0,7.0,Ongoing
521,2015,Central Java,6031039067.0,2.0,Ongoing
522,2022,Jakarta,6626183786.0,1.0,Ongoing
523,2001,Sumatra,3401325542.0,6.0,Not Guilty
524,2016,Jakarta,6653211376.0,9.0,Ongoing
525,2019,,,,Ongoing
526,2023,West Java,5267261485.0,6.0,Guilty
527,2011,Bali,7933455521.0,3.0,Guilty
528,2017,Jakarta,0.0,0.0,Ongoing
529,2002,Kalimantan,606416964.0,5.0,Ongoing
530,2000,Jakarta,7148632661.0,4.0,Guilty
531,2000,Sumatra,4714995081.0,7.0,Ongoing
532,2018,Sumatra,7998172879.0,6.0,Not Guilty
533,2010,Central Java,3219149030.0,7.0,Not Guilty
